country,year,sex,measure,category,method,unit,value
Russia,2019,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.2
Estonia,2024,Female,Mortality,Certain conditions originating in the perinatal period,Standardised rate,Deaths per 100 000 inhabitants,0.2
Finland,2017,Female,Mortality,Diseases of the skin and subcutaneous tissue,Standardised rate,Deaths per 100 000 inhabitants,0.2
Slovenia,2019,Female,Mortality,Diseases of the skin and subcutaneous tissue,Standardised rate,Deaths per 100 000 inhabitants,0.2
Slovenia,2022,Female,Mortality,Diseases of the skin and subcutaneous tissue,Standardised rate,Deaths per 100 000 inhabitants,0.2
Slovenia,2024,Female,Mortality,Diseases of the skin and subcutaneous tissue,Standardised rate,Deaths per 100 000 inhabitants,0.2
Croatia,2015,Female,Mortality,Diseases of the skin and subcutaneous tissue,Standardised rate,Deaths per 100 000 inhabitants,0.2
Croatia,2017,Female,Mortality,Diseases of the skin and subcutaneous tissue,Standardised rate,Deaths per 100 000 inhabitants,0.2
Croatia,2021,Female,Mortality,Diseases of the skin and subcutaneous tissue,Standardised rate,Deaths per 100 000 inhabitants,0.2
Romania,2015,Female,Mortality,Diseases of the musculoskeletal system and connective tissue,Standardised rate,Deaths per 100 000 inhabitants,0.2
Romania,2016,Female,Mortality,Diseases of the musculoskeletal system and connective tissue,Standardised rate,Deaths per 100 000 inhabitants,0.2
Romania,2017,Female,Mortality,Diseases of the musculoskeletal system and connective tissue,Standardised rate,Deaths per 100 000 inhabitants,0.2
Romania,2019,Female,Mortality,Diseases of the musculoskeletal system and connective tissue,Standardised rate,Deaths per 100 000 inhabitants,0.2
Romania,2020,Female,Mortality,Diseases of the musculoskeletal system and connective tissue,Standardised rate,Deaths per 100 000 inhabitants,0.2
Romania,2022,Female,Mortality,Diseases of the musculoskeletal system and connective tissue,Standardised rate,Deaths per 100 000 inhabitants,0.2
Romania,2023,Female,Mortality,Diseases of the musculoskeletal system and connective tissue,Standardised rate,Deaths per 100 000 inhabitants,0.2
Slovenia,2023,Female,Mortality,Diseases of the skin and subcutaneous tissue,Standardised rate,Deaths per 100 000 inhabitants,0.1
Croatia,2016,Female,Mortality,Diseases of the skin and subcutaneous tissue,Standardised rate,Deaths per 100 000 inhabitants,0.1
Peru,2020,Female,Mortality,Mental and behavioural disorders,Standardised rate,Deaths per 100 000 inhabitants,0.1
Australia,2015,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Australia,2016,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Australia,2018,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Australia,2019,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Australia,2021,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Australia,2022,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Australia,2023,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Austria,2015,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Austria,2016,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Austria,2018,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Austria,2019,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Austria,2021,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Austria,2022,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Belgium,2015,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Belgium,2016,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Belgium,2018,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Belgium,2019,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Belgium,2020,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Belgium,2021,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Belgium,2022,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Czechia,2019,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Czechia,2020,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
